powertrain,component_code,component_cn,component_en,hs6_candidates,impact_weight,required_fields,note
HEV,VN-CKD-TRACTION-BATTERY,动力电池,Traction battery,850760,HIGH,part.battery_chemistry|part.pack_or_cell_module|part.capacity_kwh|origin.country_iso2,FCEV excludes fuel-cell stack and hydrogen tanks until those component classes are added.
PHEV,VN-CKD-TRACTION-BATTERY,动力电池,Traction battery,850760,HIGH,part.battery_chemistry|part.pack_or_cell_module|part.capacity_kwh|origin.country_iso2,FCEV excludes fuel-cell stack and hydrogen tanks until those component classes are added.
EREV,VN-CKD-TRACTION-BATTERY,动力电池,Traction battery,850760,HIGH,part.battery_chemistry|part.pack_or_cell_module|part.capacity_kwh|origin.country_iso2,FCEV excludes fuel-cell stack and hydrogen tanks until those component classes are added.
BEV,VN-CKD-TRACTION-BATTERY,动力电池,Traction battery,850760,HIGH,part.battery_chemistry|part.pack_or_cell_module|part.capacity_kwh|origin.country_iso2,FCEV excludes fuel-cell stack and hydrogen tanks until those component classes are added.
FCEV,VN-CKD-TRACTION-BATTERY,动力电池,Traction battery,850760,HIGH,part.battery_chemistry|part.pack_or_cell_module|part.capacity_kwh|origin.country_iso2,FCEV excludes fuel-cell stack and hydrogen tanks until those component classes are added.
HEV,VN-CKD-TRACTION-MOTOR,电机,Traction motor,850152|850153,HIGH,part.rated_output_kw|part.ac_or_dc|part.motor_only_or_drive_unit|origin.country_iso2,FCEV excludes fuel-cell stack and hydrogen tanks until those component classes are added.
PHEV,VN-CKD-TRACTION-MOTOR,电机,Traction motor,850152|850153,HIGH,part.rated_output_kw|part.ac_or_dc|part.motor_only_or_drive_unit|origin.country_iso2,FCEV excludes fuel-cell stack and hydrogen tanks until those component classes are added.
EREV,VN-CKD-TRACTION-MOTOR,电机,Traction motor,850152|850153,HIGH,part.rated_output_kw|part.ac_or_dc|part.motor_only_or_drive_unit|origin.country_iso2,FCEV excludes fuel-cell stack and hydrogen tanks until those component classes are added.
BEV,VN-CKD-TRACTION-MOTOR,电机,Traction motor,850152|850153,HIGH,part.rated_output_kw|part.ac_or_dc|part.motor_only_or_drive_unit|origin.country_iso2,FCEV excludes fuel-cell stack and hydrogen tanks until those component classes are added.
FCEV,VN-CKD-TRACTION-MOTOR,电机,Traction motor,850152|850153,HIGH,part.rated_output_kw|part.ac_or_dc|part.motor_only_or_drive_unit|origin.country_iso2,FCEV excludes fuel-cell stack and hydrogen tanks until those component classes are added.
HEV,VN-CKD-E-POWER-CONTROL,电控,Electric power control,850440|853710,HIGH,part.inverter_converter_ecu|part.operating_voltage_v|origin.country_iso2,FCEV excludes fuel-cell stack and hydrogen tanks until those component classes are added.
PHEV,VN-CKD-E-POWER-CONTROL,电控,Electric power control,850440|853710,HIGH,part.inverter_converter_ecu|part.operating_voltage_v|origin.country_iso2,FCEV excludes fuel-cell stack and hydrogen tanks until those component classes are added.
EREV,VN-CKD-E-POWER-CONTROL,电控,Electric power control,850440|853710,HIGH,part.inverter_converter_ecu|part.operating_voltage_v|origin.country_iso2,FCEV excludes fuel-cell stack and hydrogen tanks until those component classes are added.
BEV,VN-CKD-E-POWER-CONTROL,电控,Electric power control,850440|853710,HIGH,part.inverter_converter_ecu|part.operating_voltage_v|origin.country_iso2,FCEV excludes fuel-cell stack and hydrogen tanks until those component classes are added.
FCEV,VN-CKD-E-POWER-CONTROL,电控,Electric power control,850440|853710,HIGH,part.inverter_converter_ecu|part.operating_voltage_v|origin.country_iso2,FCEV excludes fuel-cell stack and hydrogen tanks until those component classes are added.
ICE_GASOLINE,VN-CKD-GASOLINE-ENGINE,汽油发动机,Gasoline engine,840734,HIGH,engine.displacement_cc|engine.spark_ignition|engine.complete_engine|origin.country_iso2,FCEV excludes fuel-cell stack and hydrogen tanks until those component classes are added.
HEV,VN-CKD-GASOLINE-ENGINE,汽油发动机,Gasoline engine,840734,HIGH,engine.displacement_cc|engine.spark_ignition|engine.complete_engine|origin.country_iso2,FCEV excludes fuel-cell stack and hydrogen tanks until those component classes are added.
PHEV,VN-CKD-GASOLINE-ENGINE,汽油发动机,Gasoline engine,840734,HIGH,engine.displacement_cc|engine.spark_ignition|engine.complete_engine|origin.country_iso2,FCEV excludes fuel-cell stack and hydrogen tanks until those component classes are added.
EREV,VN-CKD-GASOLINE-ENGINE,汽油发动机,Gasoline engine,840734,HIGH,engine.displacement_cc|engine.spark_ignition|engine.complete_engine|origin.country_iso2,FCEV excludes fuel-cell stack and hydrogen tanks until those component classes are added.
ICE_DIESEL,VN-CKD-DIESEL-ENGINE,柴油发动机,Diesel engine,840820,HIGH,engine.displacement_cc|engine.compression_ignition|engine.complete_engine|origin.country_iso2,FCEV excludes fuel-cell stack and hydrogen tanks until those component classes are added.
HEV,VN-CKD-DIESEL-ENGINE,柴油发动机,Diesel engine,840820,HIGH,engine.displacement_cc|engine.compression_ignition|engine.complete_engine|origin.country_iso2,FCEV excludes fuel-cell stack and hydrogen tanks until those component classes are added.
PHEV,VN-CKD-DIESEL-ENGINE,柴油发动机,Diesel engine,840820,HIGH,engine.displacement_cc|engine.compression_ignition|engine.complete_engine|origin.country_iso2,FCEV excludes fuel-cell stack and hydrogen tanks until those component classes are added.
EREV,VN-CKD-DIESEL-ENGINE,柴油发动机,Diesel engine,840820,HIGH,engine.displacement_cc|engine.compression_ignition|engine.complete_engine|origin.country_iso2,FCEV excludes fuel-cell stack and hydrogen tanks until those component classes are added.
ICE_GASOLINE,VN-CKD-TRANSMISSION-REDUCER,变速箱/减速器,Transmission or reducer,870840|870899,HIGH,part.transmission_or_reducer|part.integrated_motor|origin.country_iso2,FCEV excludes fuel-cell stack and hydrogen tanks until those component classes are added.
